Rune,Element,Tradition,Description,Tier 1 Default,Notes
HOLE,Earth / Seismic,Mage,Tunneling and excavation. Opens passages creates pit traps collapses floors.,Open or enlarge a passage through up to 1 foot of non-magical stone or earth.,
MOVE,Earth / Seismic,Shaman,Shape earth at will: raise walls lower terrain redirect tunnels. The terraforming rune.,Raise or lower a 5ft section of earth or stone by up to 3 feet.,
GROW,Plant / Nature,Shaman,Accelerates growth. Heals plants creates difficult terrain entangles at higher tiers.,One zone becomes difficult terrain as plants rapidly grow.,
ROOT,Plant / Nature,Shaman,Immobilization. Roots erupt and hold targets. Pure control.,One target makes STR save or is held: cannot move until they break free.,
VINE,Plant / Nature,Shaman,Climbing binding grappling. More mobile than ROOT: vines reach and wrap.,Caster or one target can climb any surface at normal speed for 1 turn.,
BARK,Plant / Nature,Shaman,Natural armor from living wood. Grants AR rating to a target.,One target gains AR 1 from living bark until they take significant damage.,
TREE,Plant / Nature,Shaman,Summon or animate a tree. Barrier ally or structural element depending on MP spent.,Rapidly grow a small tree: provides cover or blocks a passage.,
LEAF,Plant / Nature,Shaman,Featherfall camouflage gentle landing. Subtle nature magic utility-focused.,Target falls at feather speed: no fall damage.,
MOSS,Plant / Nature,Shaman,Slow and silent growth. Muffles sound slicks surfaces conceals passages.,One surface becomes slick with moss: AGI save or fall when moving across it.,
MOLD,Plant / Nature,Shaman,Decay and rot. Weakens structures and objects. The dark side of nature.,One non-magical object begins rapidly decaying: weakened and brittle within a round.,
SEED,Plant / Nature,Shaman,Plant and grow something specific. Slow but permanent: results outlast the casting.,Plant a seed that will grow into a full plant within a day.,
HEAL,Plant / Nature + Universal,Shaman + Universal,Restore HP on touch. Nature tradition: the body as a living thing returning to health.,Restore 1d6 HP to one target on touch.,Nature and light traditions both access this
GALE,Air / Wind / Sound,Mage,Offensive wind. Knockback buffeting forced movement. Scales to a localized storm.,All targets in a zone make STR save or are pushed back one zone.,
GUST,Air / Wind / Sound,Universal,A directed burst of air. Pushes objects deflects missiles creates brief openings.,Deflect one incoming ranged attack: it misses automatically.,
RUSH,Air / Wind / Sound,Universal,Speed. Burst movement for caster or target. Wind as momentum.,One target may move an additional zone this round.,
WAIL,Air / Wind / Sound,Mage,Sonic attack. Disorienting sound structural damage at high tiers.,One target makes RES save or is deafened and disoriented: -1 to rolls for 1 round.,
HUSH,Air / Wind / Sound,Universal,Silence a zone or target. Prevents spellcasting communication detection by sound.,One zone or target is silenced: no sound in or out for 1 round per MP spent.,
LIFT,Air / Wind / Sound,Universal,Levitation. Float objects or targets. At high tiers true flight.,One object or willing target floats up to 10ft off the ground for 1 turn.,
KEEN,Air / Wind / Sound,Mage,Sharpness and precision: wind as a cutting edge. Slash damage at range.,Strike one target for 1d4 damage at range: ignores AR from soft armor.,Borders on Dark tradition
SLOW,Air / Wind / Sound,Universal,Reduce movement and action speed. Wind as resistance and drag.,One target moves at half speed and acts last in initiative for 1 round.,
HOWL,Air / Wind / Sound + Beast,Shaman,A spirit wind cry. Terror or inspiration depending on caster intent.,All enemies in earshot make CHA save or are shaken: -1 to ATK next round.,Shared with Beast tradition
GLOW,Light / Holy,Universal,Create light. At higher tiers blinding radiance or a persistent beacon.,Illuminate a zone with bright light for 1 exploration turn.,
DAWN,Light / Holy,Shaman,Holy light: potent against undead and spirits. The ceremonial Ethos church rune.,One undead or spirit target takes 1d6 damage and makes CHA save or flees.,
WARD,Light / Holy,Universal,Protective barrier. Ignore non-magical attacks at low tiers absorb magical at high.,Caster ignores the next non-magical attack that hits them.,
BANE,Light / Holy,Universal,Light as the enemy of darkness. Effective against undead spirits dark magic.,One undead or spirit target is at -2 to all rolls while BANE is active.,
SMIT,Light / Holy,Mage,Righteous destruction. Concentrated holy force on one target. The offensive light rune.,One target takes 1d6 damage: counts as magical for purposes of resistances.,
PURE,Light / Holy,Universal,Cleanse corruption curse contamination. Removes conditions caused by dark magic.,Remove one curse or dark-magic condition from a target.,
MEND,Light / Holy,Universal,Restore objects and minor physical damage. Light as repair.,Repair one damaged non-magical object fully.,
LIFE,Light / Holy,Universal,The resurrection rune. Revive a defeated character.,Stabilize a defeated character: they regain 1 HP and are no longer dying.,High MP cost at higher tiers for full revival
SEAL,Light / Holy,Universal,Lock and bind. Seals doors traps spirits prevents passage.,Magically lock one door or container: requires magic to open.,
MOON,Light / Holy,Shaman,Cycles and tides of power. Buffs and transforms depending on phase.,Grant one target +1 to all rolls until the next combat round.,Shaman-specific: may vary by actual moon phase
STAR,Light / Holy,Mage,Celestial force: distant and precise. Guidance navigation targeted energy from above.,Strike one target at extreme range for 1d6: can target through obstacles if caster has line of sight.,
VOID,Dark / Void / Arcane,Mage,Pure negation. Erases matter magic and effect. The most absolute destructive rune.,One target takes 1d6 damage that bypasses all armor including magic.,
FADE,Dark / Void / Arcane,Universal,Invisibility and ethereal movement. Pass through walls at high tiers.,Caster becomes invisible until they attack or cast.,
NULL,Dark / Void / Arcane,Mage,Antimagic. Dispel active spells disrupt relic tech counter other RUNE castings.,End one active magical effect within range.,
DOOM,Dark / Void / Arcane,Mage,Mark a target for death. Low tiers: a curse. High tiers: instant defeat regardless of HP.,One target is cursed: next time they fail a save they also gain a condition (1 slot).,
DETH,Dark / Void / Arcane,Mage,The forbidden rune. Instant death effect. Transgressive knowledge most traditions hide.,One target makes RES save vs 16 or is immediately defeated regardless of HP.,Forbidden: most traditions don't teach this
PALL,Dark / Void / Arcane,Mage,Darkness descends. Magical shadow blocks light disorients and frightens.,One zone is plunged into magical darkness: light sources don't work inside it.,
DUSK,Dark / Void / Arcane,Universal,The threshold rune: neither light nor dark. See in darkness pass between states.,Caster can see perfectly in darkness for 1 exploration turn.,Liminal rune: pairs with DAWN
WANE,Dark / Void / Arcane,Mage,Diminish and weaken. Reduce stats drain MP sap strength over time.,One target's next attack or spell does half effect.,
FEAR,Dark / Void / Arcane,Universal,Panic and rout. Targets flee or freeze. Does not affect undead or mindless creatures.,One target makes CHA save or spends their next action fleeing.,
LINK,Mind / Spirit,Universal,Read surface thoughts. At high tiers two-way mental connection or full mind-read.,Sense the surface emotions and general intent of one target in range.,
SEND,Mind / Spirit,Universal,Psychic message. 10 words at 1 MP scales to full mental conversation at range.,Send a 10-word telepathic message to one target you can see.,
CALM,Mind / Spirit,Universal,Pacify aggression in any target. Breaks if attacked. Does not work on mindless creatures.,One target stops attacking and acts peacefully until threatened.,
STUN,Mind / Spirit,Universal,Immobilize one target briefly. Standard control.,One target loses their next action (RES save to resist).,
BIND,Mind / Spirit,Mage,Compulsion. Force a specific action or behavior. Stronger than CALM: active control.,One target must obey one simple instruction on their next turn (CHA save resists).,
WARP,Mind / Spirit,Mage,Distort perception. Targets see false images lose direction believe untrue things.,One target believes a simple false thing for 1 round: they act on it.,
LULL,Mind / Spirit,Universal,Sleep. Willing or unwilling depending on MP spent.,One target falls into light sleep (CHA save resists: harder with more MP).,
RING,Mind / Spirit,Shaman,Spirit communion. Reach across to the spirit world call or speak with specific entities.,Sense and briefly communicate with any spirits present in the current location.,
CALL,Beast / Animal,Shaman,Summon the caster's bonded familiar or spirit animal. At high tiers call wild animals to aid.,Summon the caster's familiar to their location.,
WILD,Beast / Animal,Shaman,Awaken beast nature. Enhance animal instincts grant feral senses and abilities.,Caster gains keen animal senses: cannot be surprised for 1 turn.,
FANG,Beast / Animal,Shaman,Tooth and claw: natural weapon attack. Bite tear poison at high tiers.,Caster's unarmed strikes deal d6 damage and count as magical this round.,
PACK,Beast / Animal,Shaman,Rally allies around a common purpose. Morale and coordination: the wolf-pack effect.,All allies who can hear the caster gain +1 ATK until end of round.,
HUNT,Beast / Animal,Shaman,Track and pursue unerringly. Unerring sense of a target's location.,Caster knows the direction and approximate distance to one named target for 1 day.,
TAME,Beast / Animal,Shaman,Animal-specific CALM. Docility toward the caster. Permanent at high tiers.,One animal becomes docile and non-threatening toward the caster.,
LURE,Beast / Animal,Shaman,Draw creatures toward the caster. Works on animals and spirits.,One animal or spirit is compelled to approach the caster (CHA save resists).,
PASS,Movement / Space,Universal,Move through locked doors and solid surfaces. Reverse seals a door magically.,Open any non-magically locked door or simple physical barrier.,
RISE,Movement / Space,Universal,Fly. Half speed any direction. Falls if caster is knocked out.,Caster floats up to 10ft off the ground and can move vertically this round.,
LEAP,Movement / Space,Universal,Enhanced jumping. Cross gaps reach heights land safely from any fall.,Caster can jump up to 30ft horizontally or 15ft vertically this round.,
DASH,Movement / Space,Universal,Instant movement burst. Short-range teleport or extreme speed for one action.,Caster instantly moves up to 2 zones: bypasses engagement rules.,
STOP,Movement / Space,Mage,Freeze time for one target. No actions but also invulnerable while stopped.,One target is frozen in time for 1 round: cannot act or be harmed.,
SWAP,Movement / Space,Mage,Exchange positions of two targets. Tactical repositioning or defensive use.,Swap the positions of any two targets within range (RES save resists for unwilling targets).,
FIND,Knowledge / Detection,Universal,Locate treasure or a specific object within range. Does not reveal guardians.,Sense the direction of the nearest valuable object or specific item type within 100ft.,
GAZE,Knowledge / Detection,Mage,See through walls up to 10ft thick. Targets seen can be targeted by other spells.,See through up to 10ft of solid material for 1 round.,
KNOW,Knowledge / Detection,Universal,Identify the properties of a magic item or relic. One item per round.,Learn the basic function and activation method of one magic item or relic.,
READ,Knowledge / Detection,Mage,Understand any written language or inscription including ancient runes and old-world script.,Read and understand any written text regardless of language.,
SEEK,Knowledge / Detection,Universal,Sense the presence of a specific thing: magic life spirits: within range.,Detect whether a specified thing (magic / living creatures / spirits) is present within 30ft.,
MARK,Knowledge / Detection,Universal,Leave a magical signature or beacon. Invisible except to detection. Permanent until dispelled.,Leave an invisible magical mark on a surface or object: detectable by SEEK or SCAN.,
SCAN,Knowledge / Detection,Mage,Read a target's surface information: alignment tier active spells current HP.,Learn one piece of hidden information about a target: HP / tier / active spells / alignment.,
BOOM,Fire / Metal / Forge,Universal,Concussive explosion. Force and impact rather than sustained fire. Knockback and structural damage.,One target takes 1d6 damage and is knocked back one zone (AGI save resists the knockback).,Distinct from FIRE/BURN - the force of ignition not the flame itself
WALL,Meta (combiner),Meta,Combine with an element rune to create a barrier. Inert alone.,No effect alone: must be combined with an element rune.,FIRE+WALL / RIME+WALL / VINE+WALL etc.
RUNE,Meta (combiner),Meta,Inscribe another rune onto a surface for delayed or conditional activation.,No effect alone: must specify a trigger condition and a second rune.,
ECHO,Meta (combiner),Meta,Repeat the last rune cast for 1 MP regardless of source spell tier.,Repeat the last spell cast at its minimum (1 MP) effect.,
FLUX,Meta (combiner),Meta,Amplify or alter an active magical effect combined with another rune.,No effect alone: must be combined with an active magical effect.,
